"Worksheet 1b: Number of opposite-sex marriages by year and type of ceremony, England and Wales, 1837 to 2020 [note 1]",...2,...3,...4,...5,...6,...7,...8,...9,...10
This worksheet contains one table.,NA,NA,NA,NA,NA,NA,NA,NA,NA
This worksheet refers to notes which can be found on the notes worksheet.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notes,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Some shorthand is used in this table, [x] = not available, [z] = not applicable.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Source: Office for National Statistics,NA,NA,NA,NA,NA,NA,NA,NA,NA
Year,All marriages of opposite-sex couples,"Civil ceremonies
All","Civil ceremonies
Approved Premises [note 4]","Religious ceremonies
All","Religious ceremonies
Church of England and Church in Wales","Religious ceremonies
Roman Catholic and other Christian denominations [note 5]","Religious ceremonies
Roman Catholic","Religious ceremonies
Other Christian denominations",Religious ceremonies Other [note 3] [note 6]
1931,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1930,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1929,313316,80475,[z],232841,176113,56728,18711,38017,[x]
1928,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1927,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1926,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1925,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1924,296416,70604,[z],225812,171480,54332,16286,38046,[x]
1923,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1922,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1921,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1920,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1919,369411,85330,[z],284081,220557,63524,19078,44446,[x]
1918,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1917,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1916,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1915,[x],[x],[x],[x],[x],[x],[x],[x],[x]
1914,294401,70880,[z],223521,171700,51821,13729,38092,[x]
1913,286583,62328,[z],224255,172640,51615,13349,38266,[x]
1912,283834,58367,[z],225467,174357,51110,12715,38395,[x]
1911,274943,57435,[z],217508,167925,49583,12002,37581,[x]
1910,267721,54678,[z],213043,164945,48098,11312,36786,[x]
1909,260544,53505,[z],207039,159991,47048,10962,36086,[x]
1908,264940,54048,[z],210892,163086,47806,10940,36866,[x]
1907,276421,54026,[z],222395,172497,49898,11700,38198,[x]
1906,270038,50682,[z],219356,170579,48777,11455,37322,[x]
1905,260742,47768,[z],212974,165747,47227,10812,36415,[x]
1904,257856,46247,[z],211609,165519,46090,10450,35640,[x]
1903,261103,44520,[z],216583,170044,46539,10621,35918,[x]
1902,261750,42761,[z],218989,173011,45978,10606,35372,[x]
1901,259400,41067,[z],218333,172679,45654,10624,35030,[x]
1900,257480,39471,[z],218009,173060,44949,10267,34682,[x]
1899,262334,39403,[z],222931,177896,45035,10686,34349,[x]
1898,255379,37938,[z],217441,174826,42615,10164,32451,[x]
1897,249145,36626,[z],212519,170806,41713,10095,31618,[x]
1896,242764,35439,[z],207325,166871,40454,10042,30412,[x]
1895,228204,33749,[z],194455,156469,37986,9405,28581,[x]
1894,226449,33550,[z],192899,155352,37547,9453,28094,[x]
1893,218689,31379,[z],187310,151309,36001,9019,26982,[x]
1892,227135,31416,[z],195719,158632,37087,9133,27954,[x]
1891,226526,30809,[z],195717,158439,37278,9517,27761,[x]
1890,223028,30376,[z],192652,156371,36281,9596,26685,[x]
1889,213865,29779,[z],184086,149356,34730,8988,25742,[x]
1888,203821,27809,[z],176012,142863,33149,8632,24517,[x]
1887,200518,27335,[z],173183,140607,32576,8611,23965,[x]
1886,196071,25590,[z],170481,138571,31910,8220,23690,[x]
1885,197745,25851,[z],171894,139913,31981,8162,23819,[x]
1884,204301,26786,[z],177515,144344,33171,8783,24388,[x]
1883,206384,26547,[z],179837,147000,32837,8980,23857,[x]
1882,204405,25717,[z],178688,146102,32586,9235,23351,[x]
1881,197290,25055,[z],172235,140995,31240,8784,22456,[x]
1880,191965,24180,[z],167785,137661,30124,8210,21914,[x]
1879,182082,21769,[z],160313,131689,28624,7437,21187,[x]
1878,190054,22056,[z],167998,137969,30029,7980,22049,[x]
1877,194352,21269,[z],173083,142396,30687,8277,22410,[x]
1876,201874,21709,[z],180165,148910,31255,8577,22678,[x]
1875,201212,21002,[z],180210,149685,30525,8411,22114,[x]
1874,202010,21256,[z],180754,150819,29935,8179,21756,[x]
1873,205615,21178,[z],184437,154581,29856,8222,21634,[x]
1872,201267,19995,[z],181272,152364,28908,8427,20481,[x]
1871,190112,18378,[z],171734,144663,27071,7647,19424,[x]
1870,181655,17848,[z],163807,137986,25821,7391,18430,[x]
1869,176970,16745,[z],160225,135082,25143,7231,17912,[x]
1868,176962,15878,[z],161084,136038,25046,7517,17529,[x]
1867,179154,15058,[z],164096,138930,25166,7918,17248,[x]
1866,187776,15246,[z],172530,146040,26490,8911,17579,[x]
1865,185474,14792,[z],170682,145104,25578,8742,16836,[x]
1864,180387,14611,[z],165776,141083,24693,8659,16034,[x]
1863,173510,13589,[z],159921,136743,23178,8095,15083,[x]
1862,164030,12723,[z],151307,129733,21574,7345,14229,[x]
1861,163706,11725,[z],151981,130697,21284,7782,13502,[x]
1860,170156,11257,[z],158899,137370,21529,7800,13729,[x]
1859,167723,10844,[z],156879,136210,20669,7756,12913,[x]
1858,156070,9952,[z],146118,128082,18036,6643,11393,[x]
1857,159097,9642,[z],149455,131031,18424,7360,11064,[x]
1856,159337,8097,[z],151240,133619,17621,7527,10094,[x]
1855,152113,7441,[z],144672,127751,16921,7344,9577,[x]
1854,159727,7593,[z],152134,134109,18025,7813,10212,[x]
1853,164520,7598,[z],156922,138042,18880,8375,10505,[x]
1852,158782,7100,[z],151682,133882,17800,7479,10321,[x]
1851,154206,6813,[z],147393,130958,16435,6570,9865,[x]
1850,152744,6207,[z],146537,130959,15578,5623,9955,[x]
1849,141883,5558,[z],136325,123182,13143,4199,8944,[x]
1848,138230,4790,[z],133440,121469,11971,3658,8313,[x]
1847,135845,4258,[z],131587,120876,10711,2961,7750,[x]
1846,145664,4167,[z],141497,130509,10988,3027,7961,[x]
1845,143743,3977,[z],139766,129515,10251,2816,7435,[x]
1844,132249,3446,[z],128803,120009,8794,2280,6514,[x]
1843,123818,2817,[z],121001,113637,7364,[x],[x],[x]
1842,118825,2357,[z],116468,110047,6421,[x],[x],[x]
1841,122496,2064,[z],120432,114371,6061,[x],[x],[x]
1841 - Year ending 30 June,122482,2036,[z],120446,114448,5998,[x],[x],[x]
1840 - Year ending 30 June,124329,1938,[z],122391,117018,5373,[x],[x],[x]
1839 - Year ending 30 June,121083,1564,[z],119519,114632,4887,[x],[x],[x]
1838 - Year ending 30 June,111481,1093,[z],110388,107201,3187,[x],[x],[x]
1837 - 1 July 1837 to 31 December 1837,58479,431,[z],58048,56832,1216,[x],[x],[x]
